20120106b,2012_0106 ▶ 2012_0126 / 주말 휴관,CONCERT / CONCEPT,other,안현빈,sushi girl,비단에 채색,32×42cm,2011,https://neolook.com/archives/2012010604b.jpg
20120106b,2012_0106 ▶ 2012_0126 / 주말 휴관,CONCERT / CONCEPT,other,이현이,clothes-01,실크스크린,60×35cm,2011,https://neolook.com/archives/2012010605b.jpg
20120106b,2012_0106 ▶ 2012_0126 / 주말 휴관,CONCERT / CONCEPT,other,전현주,휴가,캔버스에 아크릴채색,90.9 ×116.8cm,2011,https://neolook.com/archives/2012010606b.jpg
20120106b,2012_0106 ▶ 2012_0126 / 주말 휴관,CONCERT / CONCEPT,other,조현진,my huge doll,혼합재료,116.8×120.9cm,2011,https://neolook.com/archives/2012010607b.jpg
20120106b,2012_0106 ▶ 2012_0126 / 주말 휴관,CONCERT / CONCEPT,other,최재희,the crowd,목판,31.8×46.8cm,2010,https://neolook.com/archives/2012010608b.jpg
20120106c,2012_0106 ▶ 2012_0128 / 일***공휴일 휴관,PORTRAIT,other,홍보람,trembling portrait-face,종이에 파스텔,60.7×45.5cm,2008,https://neolook.com/archives/2012010601c.jpg
20120106c,2012_0106 ▶ 2012_0128 / 일***공휴일 휴관,PORTRAIT,other,김제민,self portrait,종이에 혼합재료 색연필,78×54cm,2012,https://neolook.com/archives/2012010602c.jpg
20120106c,2012_0106 ▶ 2012_0128 / 일***공휴일 휴관,PORTRAIT,other,김형관,untitled,종이에 먹지베끼기,32×23cm,2005,https://neolook.com/archives/2012010603c.jpg
20120106c,2012_0106 ▶ 2012_0128 / 일***공휴일 휴관,PORTRAIT,other,이주형,Portrait,캔버스에 유채,117×91cm,2011,https://neolook.com/archives/2012010604c.jpg
20120106c,2012_0106 ▶ 2012_0128 / 일***공휴일 휴관,PORTRAIT,other,이준형,Made in heaven,리넨에 유채,91×116cm,2010,https://neolook.com/archives/2012010605c.jpg
20120106c,2012_0106 ▶ 2012_0128 / 일***공휴일 휴관,PORTRAIT,other,홍보람,trembling portrait,종이에 파스텔,60.7×45.5cm,2008,https://neolook.com/archives/2012010606c.jpg
