20090106d,김선회展 / KIMSUNHOE / 金善會 / photography,Finding Sun in the city,solo exhibition,김선회,London Eye,아카이벌 피그먼트 프린트,130×100cm,2007,https://neolook.com/archives/2009010603d.jpg
20090106d,김선회展 / KIMSUNHOE / 金善會 / photography,Finding Sun in the city,solo exhibition,김선회,National Exchange,아카이벌 피그먼트 프린트,60×80cm,2007,https://neolook.com/archives/2009010604d.jpg
20090106d,김선회展 / KIMSUNHOE / 金善會 / photography,Finding Sun in the city,solo exhibition,김선회,Piccadilly circus,아카이벌 피그먼트 프린트,60×80cm,2007,https://neolook.com/archives/2009010605d.jpg
20090106d,김선회展 / KIMSUNHOE / 金善會 / photography,Finding Sun in the city,solo exhibition,김선회,St. Paul's Cathedral,아카이벌 피그먼트 프린트,60×80cm,2007,https://neolook.com/archives/2009010606d.jpg
20090106d,김선회展 / KIMSUNHOE / 金善會 / photography,Finding Sun in the city,solo exhibition,김선회,Swiss-Re tower,아카이벌 피그먼트 프린트,130×100cm,2007,https://neolook.com/archives/2009010607d.jpg
20090106e,백연수展 / PAIKYEONSOO / 白然琇 / sculpture,Animals are HOME,solo exhibition,백연수,My working table(나의 작업책상),소나무,20×182×50cm,2008,https://neolook.com/archives/2009010601e.jpg
20090106e,백연수展 / PAIKYEONSOO / 白然琇 / sculpture,Animals are HOME,solo exhibition,백연수,My working table(나의 작업책상) & 자화상,소나무,20×182×50cm 167×112cm,2008,https://neolook.com/archives/2009010602e.jpg
20090106e,백연수展 / PAIKYEONSOO / 白然琇 / sculpture,Animals are HOME,solo exhibition,백연수,Hang animals(동물을 널다),동물 털 인조가죽,130×200×50cm,2008,https://neolook.com/archives/2009010603e.jpg
20090106e,백연수展 / PAIKYEONSOO / 白然琇 / sculpture,Animals are HOME,solo exhibition,백연수,Animals,혼합재료,122×160×70cm,2009,https://neolook.com/archives/2009010604e.jpg
20090106f,2009_0114 ▶ 2009_0131,Mr. MIXI,other,나얼,The Bread of Life,실크 스크린,85×54cm,2008,https://neolook.com/archives/2009010602f.jpg
20090106f,2009_0114 ▶ 2009_0131,Mr. MIXI,other,노준,Temmy in Denpasar 08-3,디지털 프린트,120×80cm,2008,https://neolook.com/archives/2009010603f.jpg
20090106f,2009_0114 ▶ 2009_0131,Mr. MIXI,other,박기일,Smile mask,에어브러쉬 페인트,130×130cm,2008,https://neolook.com/archives/2009010604f.jpg
20090106f,2009_0114 ▶ 2009_0131,Mr. MIXI,other,필승,Gold minicar,청동주물에 금도금,가변크기,2008,https://neolook.com/archives/2009010605f.jpg
20090107a,서성봉展 / SEOSUNGBONG / 徐成奉 / sculpture,감싸안음,solo exhibition,서성봉,감싸안음,나무 알루미늄 선,가변설치,2008,https://neolook.com/archives/2009010701a.jpg
20090107a,서성봉展 / SEOSUNGBONG / 徐成奉 / sculpture,감싸안음,solo exhibition,서성봉,감싸안음,돌 알루미늄 선,가변설치,2008,https://neolook.com/archives/2009010702a.jpg
20090107a,서성봉展 / SEOSUNGBONG / 徐成奉 / sculpture,감싸안음,solo exhibition,서성봉,감싸안음,돌 알루미늄 선,가변설치,2008,https://neolook.com/archives/2009010703a.jpg
20090107a,서성봉展 / SEOSUNGBONG / 徐成奉 / sculpture,감싸안음,solo exhibition,서성봉,감싸안음,돌 알루미늄 선,가변설치,2008,https://neolook.com/archives/2009010704a.jpg
20090107a,서성봉展 / SEOSUNGBONG / 徐成奉 / sculpture,감싸안음,solo exhibition,서성봉,감싸안음,나무 알루미늄 선,가변설치,2008,https://neolook.com/archives/2009010705a.jpg
20090107a,서성봉展 / SEOSUNGBONG / 徐成奉 / sculpture,감싸안음,solo exhibition,서성봉,감싸안음,나무 알루미늄 선,가변설치,2008,https://neolook.com/archives/2009010706a.jpg
20090107b,이경하展 / LEEKYOUNGHA / 李京夏 / painting,Travel in strange land_낯선 곳으로 가다,solo exhibition,이경하,바다를 바라보는 세사람,캔버스에 유채 목탄,130.3×130.3cm,2008,https://neolook.com/archives/2009010701b.jpg
20090107b,이경하展 / LEEKYOUNGHA / 李京夏 / painting,Travel in strange land_낯선 곳으로 가다,solo exhibition,이경하,바다로 나아가다,캔버스에 유채 목탄,130.3×130.3cm,2008,https://neolook.com/archives/2009010702b.jpg
