20000915a,1부 일상으로부터-서울*** 그 삶의 공간에서,미술의 말걸기,other,안창홍,오렌지 빛 청춘,캔버스에 아크릴릭,130.3×89.4cm,1994,https://neolook.com/archives/2000091502a.jpg
20000915a,1부 일상으로부터-서울*** 그 삶의 공간에서,미술의 말걸기,other,김주호,근데 말이야,질구이,52×62×25cm,1998,https://neolook.com/archives/2000091503a.jpg
20000917a,루이즈 부르주아展 / Louise Bourgeois / sculpture,The Space of Memory,solo exhibition,루이즈 부르주아,거미,청동,326.4×756.9×706.1cm,1996,https://neolook.com/archives/2000091701a.jpg
20000921a,박병춘展 / PARKBYOUNGCHOON / 朴昞春 / painting,浮流圖_Floating Pictures,solo exhibition,박병춘,기억속의 풍경,한지에 혼합재료,100×70cm,2000,https://neolook.com/archives/2000092101a.jpg
20000925a,한겨레일러스트레이션동인展,지금***나는.,exhibition,황은아,고양이와 새에 관한 진실,혼합재료,2000,부분,https://neolook.com/archives/2000092501a.jpg
20000927a,권오상_김민혁_김영길_한수정_황규태展,지록위마 指鹿爲馬,exhibition,황규태,무제,컬러인화,360×288cm,1998,https://neolook.com/archives/2000092701a.jpg
20000927a,권오상_김민혁_김영길_한수정_황규태展,지록위마 指鹿爲馬,exhibition,김영길,This & That,흑백인화,100×100cm,2000,https://neolook.com/archives/2000092702a.jpg
20000927a,권오상_김민혁_김영길_한수정_황규태展,지록위마 指鹿爲馬,exhibition,김영길,This & That,흑백인화,100×100cm,2000,https://neolook.com/archives/2000092703a.jpg
20000927a,권오상_김민혁_김영길_한수정_황규태展,지록위마 指鹿爲馬,exhibition,김영길,This & That,흑백인화,100×100cm,2000,https://neolook.com/archives/2000092704a.jpg
20000927a,권오상_김민혁_김영길_한수정_황규태展,지록위마 指鹿爲馬,exhibition,한수정,숨은그림,캔버스에 유채,182×106cm,2000,https://neolook.com/archives/2000092705a.jpg
20000927a,권오상_김민혁_김영길_한수정_황규태展,지록위마 指鹿爲馬,exhibition,한수정,숨은그림,흑백인화,182×106cm,2000,https://neolook.com/archives/2000092706a.jpg
20000927a,권오상_김민혁_김영길_한수정_황규태展,지록위마 指鹿爲馬,exhibition,한수정,숨은그림,캔버스에 유채 흑백인화,162×255cm,2000,https://neolook.com/archives/2000092707a.jpg
20000927a,권오상_김민혁_김영길_한수정_황규태展,지록위마 指鹿爲馬,exhibition,한수정,숨은그림,캔버스에 유채 흑백인화,162×255cm,2000,https://neolook.com/archives/2000092708a.jpg
20000927a,권오상_김민혁_김영길_한수정_황규태展,지록위마 指鹿爲馬,exhibition,황규태,dot dot dot...,컬러인화,250×300cm,1998,https://neolook.com/archives/2000092709a.jpg
20000927a,권오상_김민혁_김영길_한수정_황규태展,지록위마 指鹿爲馬,exhibition,황규태,무제,컬러인화,360×288cm,1998,https://neolook.com/archives/2000092710a.jpg
20000927a,권오상_김민혁_김영길_한수정_황규태展,지록위마 指鹿爲馬,exhibition,권오상,집착으로 구성된 440장의 가족사진,컬러인화지와 혼합재료,100×100×130cm,1998,https://neolook.com/archives/2000092711a.jpg
20000927a,권오상_김민혁_김영길_한수정_황규태展,지록위마 指鹿爲馬,exhibition,권오상,증명의 강요,컬러인화지와 혼합재료,30×20×45cm,1998,https://neolook.com/archives/2000092712a.jpg
20000927a,권오상_김민혁_김영길_한수정_황규태展,지록위마 指鹿爲馬,exhibition,권오상,증명의 강요,컬러인화지,40×45×25cm,1998,https://neolook.com/archives/2000092713a.jpg
