20180104c,무술년 신년기획展,동고동락; 네가 나를 부를 때,exhibition,주후식,Jindo Dog,테라코타 소성 점토 흑색 점토 백토,36×21×56cm,2017,https://neolook.com/archives/2018010413c.jpg
20180104c,무술년 신년기획展,동고동락; 네가 나를 부를 때,exhibition,하루.K,해피는 새해 꿈꾼다,한지에 수묵채색,91×72cm,2017,https://neolook.com/archives/2018010414c.jpg
20180104d,최화정展 / CHOIHWAJUNG / 崔化禎 / painting,그리움,solo exhibition,최화정,만남,한지에 수묵담채,40×31cm,2017 ,https://neolook.com/archives/2018010401d.jpg
20180104d,최화정展 / CHOIHWAJUNG / 崔化禎 / painting,그리움,solo exhibition,최화정,기다림,한지에 수묵,79×109cm,2016,https://neolook.com/archives/2018010402d.jpg
20180104d,최화정展 / CHOIHWAJUNG / 崔化禎 / painting,그리움,solo exhibition,최화정,산책,한지에 수묵,79×109cm,2016,https://neolook.com/archives/2018010403d.jpg
20180104d,최화정展 / CHOIHWAJUNG / 崔化禎 / painting,그리움,solo exhibition,최화정,인연,한지에 수묵담채,38×45.5cm,2017,https://neolook.com/archives/2018010404d.jpg
20180104d,최화정展 / CHOIHWAJUNG / 崔化禎 / painting,그리움,solo exhibition,최화정,아이들,한지에 수묵담채,60.5×73cm,2017,https://neolook.com/archives/2018010405d.jpg
20180104d,최화정展 / CHOIHWAJUNG / 崔化禎 / painting,그리움,solo exhibition,최화정,아침,한지에 수묵담채,38×45.5cm ,2016,https://neolook.com/archives/2018010406d.jpg
20180104e,The Art of Arranging the Invisible in the Air,보이지 않는 것을 공기 중에 배열하는 기술,other,조준용,Memory of South 416km,알루미늄 프레임과 쉬폰 천에 인쇄,가변크기,2017,https://neolook.com/archives/2018010404e.jpg
20180104e,The Art of Arranging the Invisible in the Air,보이지 않는 것을 공기 중에 배열하는 기술,other,김진희,지금,FM 튜너 전선,80×80×80cm,2017,https://neolook.com/archives/2018010405e.jpg
20180104e,The Art of Arranging the Invisible in the Air,보이지 않는 것을 공기 중에 배열하는 기술,other,조재영,Construction,나무 종이 페인트,가변크기,2017,https://neolook.com/archives/2018010407e.jpg
20180104e,The Art of Arranging the Invisible in the Air,보이지 않는 것을 공기 중에 배열하는 기술,other,문연욱,STOP TEASING ME (Hanging piece),도자 나무 철 끈,400×120×100cm,2017,https://neolook.com/archives/2018010408e.jpg
20180104e,The Art of Arranging the Invisible in the Air,보이지 않는 것을 공기 중에 배열하는 기술,other,이예승,Um,프로젝션맵핑,가변설치,2017,https://neolook.com/archives/2018010409e.jpg
20180104f,신승주展 / SHINSEUNGJU / 辛承珠 / installation,스윽. 딱*** 스르륵 Swish. Bam*** Swish.,solo exhibition,신승주,first act,디지털 프린트,9×14cm,2017,https://neolook.com/archives/2018010407f.jpg
20180104g,전가빈展 / JEONKABIN / 全佳賓 / sculpture,꿈으로 끝나버린 꿈 Dream ended as dream,solo exhibition,전가빈,희생만 남은 자기희생,시멘트 철근 FRP 도장,80×40×40cm,2017,https://neolook.com/archives/2018010401g.jpg
20180104g,전가빈展 / JEONKABIN / 全佳賓 / sculpture,꿈으로 끝나버린 꿈 Dream ended as dream,solo exhibition,전가빈,자기희생에 따른 희생,시멘트 철,가변설치,2017,https://neolook.com/archives/2018010402g.jpg
20180104g,전가빈展 / JEONKABIN / 全佳賓 / sculpture,꿈으로 끝나버린 꿈 Dream ended as dream,solo exhibition,전가빈,비공감적 롤모델,시멘트 철근 FRP 도장,100×70×90cm,2017,https://neolook.com/archives/2018010403g.jpg
20180104g,전가빈展 / JEONKABIN / 全佳賓 / sculpture,꿈으로 끝나버린 꿈 Dream ended as dream,solo exhibition,전가빈,자기희생에 따른 희생,시멘트 철,가변설치,2017,https://neolook.com/archives/2018010404g.jpg
20180104g,전가빈展 / JEONKABIN / 全佳賓 / sculpture,꿈으로 끝나버린 꿈 Dream ended as dream,solo exhibition,전가빈,정직이라는 진정성,시멘트 철근 신주,70×400×50cm,2017,https://neolook.com/archives/2018010405g.jpg
20180105a,김혜나_샌 정_성낙희展,Blooming In The New Year,exhibition,샌정,Untitled,캔버스에 유채,130×162cm,2016,https://neolook.com/archives/2018010503a.jpg
20180105a,김혜나_샌 정_성낙희展,Blooming In The New Year,exhibition,성낙희,Amplitude1,캔버스에 유채,130×162cm,2017,https://neolook.com/archives/2018010504a.jpg
20180105a,김혜나_샌 정_성낙희展,Blooming In The New Year,exhibition,김혜나,Songs,캔버스에 유채,162×131cm,2017,https://neolook.com/archives/2018010505a.jpg
20180106a,김남표_윤종석 2인展,TOUCHABLE SCENE,exhibition,김남표,Instant Landscape-Goosebumps #4,캔버스에 유채,130.3×193cm,2017,https://neolook.com/archives/2018010601a.jpg
20180106a,김남표_윤종석 2인展,TOUCHABLE SCENE,exhibition,김남표,Instant Landscape-Goosebumps #7,캔버스에 유채,193.9×259cm,2017,https://neolook.com/archives/2018010602a.jpg
20180106a,김남표_윤종석 2인展,TOUCHABLE SCENE,exhibition,윤종석,That days (20161014),캔버스에 아크릴채색,65×53cm,2016,https://neolook.com/archives/2018010603a.jpg
20180106a,김남표_윤종석 2인展,TOUCHABLE SCENE,exhibition,윤종석,That day (20161121),캔버스에 아크릴채색,65×53cm,2016,https://neolook.com/archives/2018010604a.jpg
20180106b,오태풍展 / OHTAEPUNG / 吳泰風 / photography,스물의 파편 Fragments of twenties,solo exhibition,오태풍,The moment,피그먼트 프린트,30×30cm,2014 ,https://neolook.com/archives/2018010601b.jpg
20180106b,오태풍展 / OHTAEPUNG / 吳泰風 / photography,스물의 파편 Fragments of twenties,solo exhibition,오태풍,See You Glass,피그먼트 프린트,각 30×30cm,2013,https://neolook.com/archives/2018010602b.jpg
20180106b,오태풍展 / OHTAEPUNG / 吳泰風 / photography,스물의 파편 Fragments of twenties,solo exhibition,오태풍,The moment,피그먼트 프린트,각 30×30cm,2014,https://neolook.com/archives/2018010603b.jpg
20180106b,오태풍展 / OHTAEPUNG / 吳泰風 / photography,스물의 파편 Fragments of twenties,solo exhibition,오태풍,Life in the string,피그먼트 프린트,각 40×60cm,2014,https://neolook.com/archives/2018010604b.jpg
20180106b,오태풍展 / OHTAEPUNG / 吳泰風 / photography,스물의 파편 Fragments of twenties,solo exhibition,오태풍,다시 그곳에서-버려진 농협창고에서,피그먼트 프린트,66×100cm,2015,https://neolook.com/archives/2018010605b.jpg
20180106b,오태풍展 / OHTAEPUNG / 吳泰風 / photography,스물의 파편 Fragments of twenties,solo exhibition,오태풍,다시 그곳에서-버려진 농협창고에서,피그먼트 프린트,66×100cm,2015 ,https://neolook.com/archives/2018010606b.jpg
20180106b,오태풍展 / OHTAEPUNG / 吳泰風 / photography,스물의 파편 Fragments of twenties,solo exhibition,오태풍,Pure factory-문 닫힌 공장에서,피그먼트 프린트,86×130cm,2016 ,https://neolook.com/archives/2018010607b.jpg
20180106b,오태풍展 / OHTAEPUNG / 吳泰風 / photography,스물의 파편 Fragments of twenties,solo exhibition,오태풍,Pure factory-문 닫힌 공장에서,사진 천 수집한 오브제,가변설치,2016,https://neolook.com/archives/2018010608b.jpg
20180106b,오태풍展 / OHTAEPUNG / 吳泰風 / photography,스물의 파편 Fragments of twenties,solo exhibition,오태풍,잠시-재개발 지역에서,피그먼트 프린트,74×111cm,2017 ,https://neolook.com/archives/2018010609b.jpg
20180106b,오태풍展 / OHTAEPUNG / 吳泰風 / photography,스물의 파편 Fragments of twenties,solo exhibition,오태풍,잠시-재개발 지역에서,피그먼트 프린트,50×76cm,2017 ,https://neolook.com/archives/2018010610b.jpg
20180106d,크리스티나 H. 강 컬렉션展,KEEP MOVING AND COLLECT ART,exhibition,롭 윈느,? (From the series Glass text),거울유리,76.2×22.86cm,2017,https://neolook.com/archives/2018010601d.jpg
20180106d,크리스티나 H. 강 컬렉션展,KEEP MOVING AND COLLECT ART,exhibition,앤 베로니카 얀센스,Canicule #2,알루미늄 금박,100×80×2cm,2016,https://neolook.com/archives/2018010602d.jpg
20180107a,김범중_이길원_한상진展,MONOROOM 모노룸,exhibition,김범중,Decorum,장지에 연필,100×20cm,2017,https://neolook.com/archives/2018010702a.jpg
20180107a,김범중_이길원_한상진展,MONOROOM 모노룸,exhibition,이길원,2017-Y-801,한지에 먹,73×73cm,2017,https://neolook.com/archives/2018010703a.jpg
20180107a,김범중_이길원_한상진展,MONOROOM 모노룸,exhibition,이길원,2017-Y-803,한지에 먹,73×73cm,2017,https://neolook.com/archives/2018010704a.jpg
20180107a,김범중_이길원_한상진展,MONOROOM 모노룸,exhibition,한상진,무경계,종이에 수묵드로잉,42.1×29.7cm,2016,https://neolook.com/archives/2018010705a.jpg
20180107a,김범중_이길원_한상진展,MONOROOM 모노룸,exhibition,한상진,무경계,종이에 수묵드로잉,42.1×29.7cm,2017,https://neolook.com/archives/2018010706a.jpg
20180109a,2018_0109 ▶ 2018_0222 / 일***공휴일 휴관,이모젠 커닝햄展 / Imogen Cunningham / photography,other,이모젠 커닝햄,Clare and the Floating Seeds,플래티늄 팔라디움 프린트,51×41cm,1910,https://neolook.com/archives/2018010901a.jpg
20180109a,2018_0109 ▶ 2018_0222 / 일***공휴일 휴관,이모젠 커닝햄展 / Imogen Cunningham / photography,other,이모젠 커닝햄,Philodendron,플래티늄 팔라디움 프린트,51×41cm,1950년대,https://neolook.com/archives/2018010904a.jpg
20180109a,2018_0109 ▶ 2018_0222 / 일***공휴일 휴관,이모젠 커닝햄展 / Imogen Cunningham / photography,other,이모젠 커닝햄,The Bath 2,플래티늄 팔라디움 프린트,51×41cm,1952,https://neolook.com/archives/2018010905a.jpg
20180109a,2018_0109 ▶ 2018_0222 / 일***공휴일 휴관,이모젠 커닝햄展 / Imogen Cunningham / photography,other,이모젠 커닝햄,Alice-Marie on Haight Street,플래티늄 팔라디움 프린트,51×41cm,1967,https://neolook.com/archives/2018010906a.jpg
20180109b,천년 전통의 부활-새해맞이 그림선물 축제展,세 화 歲 畵,exhibition,장경희,소문신,비단에 채색,45.5×38cm,2017,https://neolook.com/archives/2018010901b.jpg
20180109b,천년 전통의 부활-새해맞이 그림선물 축제展,세 화 歲 畵,exhibition,고애란,Happiness puppy,비단에 채색,45×37cm,2017,https://neolook.com/archives/2018010902b.jpg
20180109b,천년 전통의 부활-새해맞이 그림선물 축제展,세 화 歲 畵,exhibition,권수녕,무술년일출,비단에 채색,27.3×45.5cm,2017,https://neolook.com/archives/2018010903b.jpg
20180109b,천년 전통의 부활-새해맞이 그림선물 축제展,세 화 歲 畵,exhibition,백지혜,春,비단에 채색,34×23.5cm,2017,https://neolook.com/archives/2018010905b.jpg
20180109b,천년 전통의 부활-새해맞이 그림선물 축제展,세 화 歲 畵,exhibition,장지영,보물산,비단에 채색,27×45cm,2017,https://neolook.com/archives/2018010906b.jpg
20180109c,김우진_정덕현_이준영展,무브! 무브! 무브! Move! Move! Move!,exhibition,김우진,In,단채널 비디오,00:13:47,2017,https://neolook.com/archives/2018010902c.jpg
20180109c,김우진_정덕현_이준영展,무브! 무브! 무브! Move! Move! Move!,exhibition,김우진,In,단채널 비디오,00:13:47,2017,https://neolook.com/archives/2018010903c.jpg
