20010618a,이가경展 / LEEKAKYOUNG / 李佳景 / printing,가경*** 표류하다,exhibition,이가경,14:30 in an Airport,부식 동판화,60×90cm,2001,https://neolook.com/archives/2001061802a.jpg
20010619a,책임기획_윤후영,전환된 이미지_Image Transit,other,최원진,Mystery of Symmetry,디지털 이미지 컬러 프린트,각 150×120cm,1996,https://neolook.com/archives/2001061901a.jpg
20010619a,책임기획_윤후영,전환된 이미지_Image Transit,other,홍균,비 눈,흑백인화,120×150cm,1992,https://neolook.com/archives/2001061902a.jpg
20010619a,책임기획_윤후영,전환된 이미지_Image Transit,other,김영길,This & That 연작,디지털 출력,100×100cm,2000,https://neolook.com/archives/2001061903a.jpg
20010619a,책임기획_윤후영,전환된 이미지_Image Transit,other,이상윤,Image of Land Form,흑백인화,125×200cm,1997,https://neolook.com/archives/2001061904a.jpg
20010619a,책임기획_윤후영,전환된 이미지_Image Transit,other,전흥수,花景Ⅳ,컬러인화,60×32cm,1997,https://neolook.com/archives/2001061905a.jpg
20010620a,이정승원展 / LEEJUNGSEUNGWON / 李鄭承垣 / painting,ing,solo exhibition,이정승원,마릴린 몬로,플래그,각 91×72cm,2001,https://neolook.com/archives/2001062001a.jpg
20010620a,이정승원展 / LEEJUNGSEUNGWON / 李鄭承垣 / painting,ing,solo exhibition,이정승원,모나리자,라이트판 위에 플래그,30×21cm,2001,https://neolook.com/archives/2001062003a.jpg
20010621a,문미진_박이원展,視:See;時,exhibition,문미진,자화상,컬러인화,60×50cm,2001,https://neolook.com/archives/2001062101a.jpg
20010621a,문미진_박이원展,視:See;時,exhibition,박이원,fishdress,캔버스천과 혼합재료,150×270×70cm,2001,https://neolook.com/archives/2001062102a.jpg
20010626a,안상진展 / ANSANGJIN / 安相鎭 / installation,도시유감·都市有感,solo exhibition,안상진,connection,결합 접합 이음..,162×220cm×3,2001,https://neolook.com/archives/2001062602a.jpg
20010627a,최병수展 / CHOIBYUNGSOO / 崔秉洙 / printing.sculpture,새만금 갯벌 지킴이,solo exhibition,최병수,새만금 지킴이,게 망둥어 갯지렁이 모양의 솟대,갯벌에 설치,2000,https://neolook.com/archives/2001062701a.jpg
20010627a,최병수展 / CHOIBYUNGSOO / 崔秉洙 / printing.sculpture,새만금 갯벌 지킴이,solo exhibition,최병수,장산곶매, 걸개그림용 밑그림,10×15m,1990,https://neolook.com/archives/2001062703a.jpg
